Name,Category1,Category2,Category3,Year,Num Stories,Num Parking,Material1,Material2,Material3,Description,Involvement,City,Region,Lat,Long,Photo1,Photo2,Photo3,Photo4,Photo5
Thesis Experiment,Specialty,,,2015,,,Steel,,,Investigating a reduced-cost seismic isolation retrofit by allowing flexible supports connected to isolation bearings.,"""Design & construction of entire experimental setup including design of structural system, hydraulic system, data acquisition and sensors, and control system.""",Hamilton,Hamilton,43.26333,-79.92749,Thesis-Expir-1.jpg,Thesis-Expir-2.png,,,
McMaster Testing Machine,Specialty,,,2016,,,Steel,,,"""Three-degree-of-freedom machine to test concrete, masonry, or steel lateral resisting systems under earthquakes while maintaining gravity load.""",Design & drafting of all members & connections,Hamilton,Hamilton,43.263385,-79.927409,Mac-Expir-1.jpg,Mac-Expir-2.jpg,,,
Bellevue,Residential,,,2016,16,3,Concrete,,,Concrete tower with rooftop pool.,Design of basement walls,West Vancouver,Metro Vancouver,49.33234,-123.17476,30660-01-Bellevue-1.jpg,30660-01-Bellevue-2.jpg,,,
The Heights,Residential,,,2016,4,2,Concrete,Wood,,Woodframe on concrete parking garage.,"""Design of concrete slabs, columns, basement walls, foundations""",Coquitlam,Metro Vancouver,49.24832,-122.86967,30744-01-The-Heights-1.jpg,30744-01-The-Heights-2.jpg,,,
McKinnon,Residential,Commercial,,2017,5,3,Concrete,,,Concrete mid-rise with extensive green roof deck.,Design of all slabs,Vancouver,Metro Vancouver,49.22853,-123.15607,30709-01-McKinnon-1.jpg,30709-01-McKinnon-2.jpg,,,
Panorama Crossing,Residential,,,2017,4,1,Concrete,Wood,,Woodframe on concrete parking garage.,"""Design of concrete slabs, columns, basement walls, foundations""",Surrey,Metro Vancouver,49.107,-122.80379,30747-01-Panorama-1.jpg,30747-01-Panorama-2.jpg,30747-01-Panorama-3.jpg,,
Cineplex Park Royal,Commercial,,,2017,2,0,Steel,,,Steel theatre addition on top of existing mall.,Design check of floor members,West Vancouver,Metro Vancouver,49.3254,-123.13814,40100-06-Cineplex-Park-Royal.jpg,,,,
The Bovill,Residential,Commercial,,2017,6,2,Concrete,,,Woodframe on concrete parking garage.,Design of parking slab,Vancouver,Metro Vancouver,49.22553,-123.10185,30736-01-Bovill-1.jpg,30736-01-Bovill-2.jpg,,,
Aqua at Plaza 88,Residential,Commercial,,2017,40,0,Concrete,,,Concrete tower on piles interfacing with a major skytrain station.,"""Design & deflection check of steel canopy over skytrain route, development of hollow circular post tensioned pile interaction diagrams""",New Westminster,Metro Vancouver,49.20055,-122.91485,30551-17-Aqua-At-Plaza-88-1.jpg,30551-17-Aqua-At-Plaza-88-2.jpg,,,
The Smithe,Residential,Office,Commercial,2017,27,5,Concrete,,,Concrete tower with 3 story setback for outdoor podium amenity space.,Design of P5 to L9 slabs,Vancouver,Metro Vancouver,49.27744,-123.11651,30607-01-Smithe-1.jpg,30607-01-Smithe-2.jpg,,,
Amira,Residential,,,2017,6,2,Concrete,Wood,,Woodframe on concrete parking garage while preserving an existing heritage home.,"""Design of concrete slabs, columns, basement walls, foundations""",New Westminster,Metro Vancouver,49.21066,-122.91855,30680-01-Amira.jpg,,,,
The Link,Residential,Commercial,,2017,7,2,Concrete,Wood,,Woodframe on 2 story concrete podium.,"""Design of concrete slabs, columns, basement walls, foundations, lateral force resisting system""",Vancouver,Metro Vancouver,49.23247,-123.02624,30712-01-The-Link-1.jpg,30712-01-The-Link-2.jpg,,,
Green on Queensbury,Residential,,,2017,4,2,Concrete,Wood,,Three woodframe buildings  on shared concrete parking garage.,"""Design of concrete slabs, columns, basement walls, foundations""",North Vancouver,Metro Vancouver,49.30831,-123.05903,30743-01-Green.jpg,,,,
Conrad,Residential,,,2017,6,1,Concrete,,,Woodframe on concrete parking garage.,"""Design of concrete slabs, columns, basement walls, foundations""",Vancouver,Metro Vancouver,49.25434,-123.06901,30750-01-Conrad-1.jpg,30750-01-Conrad-2.jpg,,,
Transit Village Phase 1,Residential,Commercial,,2017,6,1,Concrete,Wood,,Woodframe on 2 story concrete podium on piles featuring extensive outdoor landscaped amenity space on podium roof.,"""Design of concrete slabs, columns, basement walls, lateral force resisting system""",Surrey,Metro Vancouver,49.203073,-122.87145,30754-02-Transit-Village.jpg,,,,
Belaire,Residential,,,2018,5,1,Concrete,Wood,,Woodframe on concrete parking garage.,"""Design of concrete slabs, columns, basement walls, foundations""",North Vancouver,Metro Vancouver,49.32289,-123.07587,30734-01-Belaire.jpg,,,,
The Lloyd,Residential,,,2018,4,1,Concrete,Wood,,Woodframe on 1 story concrete podium.,"""Design of concrete slabs, columns, basement walls, foundations, lateral force resisting system""",North Vancouver,Metro Vancouver,49.32293,-123.10496,30563-01-The-Lloyd-1.jpg,30563-01-The-Lloyd-2.jpg,,,
Main & Twentieth,Residential,Commercial,,2018,4,1,Concrete,Wood,,Woodframe on 1 story concrete podium.,"""Design of concrete slabs, columns, basement walls, foundations, lateral force resisting system. Construction support""",Vancouver,Metro Vancouver,49.25305,-123.10088,30767-01-Main-and-Twentieth-1.jpg,30767-01-Main-and-Twentieth-2.jpg,,,
Sutton Place Hotel Winnipeg,Hospitality,,,2018,22,1,Concrete,,,Two concrete towers (17 & 22 stories) on a shared 4-story podium on piles & caissons.,"""Design of slabs, columns, core footings, lateral force resisting system""",Winnipeg,Winnipeg,49.89026,-97.14485,60058-01-Sutton-Place-Winnipeg.jpg,,,,
Transit Village Phase 2,Residential,Commercial,,2018,6,1,Concrete,Wood,,Woodframe on 2 story concrete podium on piles featuring extensive outdoor landscaped amenity space on podium roof.,"""Design of concrete slabs, columns, basement walls, lateral force resisting system""",Surrey,Metro Vancouver,49.204,-122.87145,30754-02-Transit-Village.jpg,,,,
Executive Hotel,Hospitality,,,2018,13,3,Concrete,,,Concrete high-rise with close neighbouring buildings featuring extensive rooftop amenity space.,"""Design of core footings, lateral force resisting system""",Vancouver,Metro Vancouver,49.28577,-123.11638,60054-01-Executive-Hotel.jpg,,,,
